ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
12,Rotterdam,ABN AMRO World Tennis Tournament,11/02/2019,ATP500,Indoor,Hard,1st Round,3,Seppi A.,Gojowczyk P.,40,61,1060,770,7,6,3,6,6,2,,,,,2,1,Completed,1.61,2.2,1.67,2.32,1.84,2.4,1.64,2.26
12,Rotterdam,ABN AMRO World Tennis Tournament,11/02/2019,ATP500,Indoor,Hard,1st Round,3,Kukushkin M.,Haase R.,53,55,910,905,6,2,7,6,,,,,,,2,0,Completed,2,1.72,2.11,1.8,2.15,1.83,2.07,1.76
12,Rotterdam,ABN AMRO World Tennis Tournament,11/02/2019,ATP500,Indoor,Hard,1st Round,3,Wawrinka S.,Paire B.,68,58,740,795,7,6,6,1,,,,,,,2,0,Completed,1.5,2.5,1.54,2.64,1.58,3,1.5,2.6
12,Rotterdam,ABN AMRO World Tennis Tournament,11/02/2019,ATP500,Indoor,Hard,1st Round,3,Basilashvili N.,Chung H.,20,52,1820,910,4,6,7,6,6,2,,,,,2,1,Completed,1.72,2,1.8,2.11,2.05,2.11,1.83,1.98
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2019,ATP500,Indoor,Hard,1st Round,3,Gulbis E.,Copil M.,84,72,667,728,6,2,6,4,,,,,,,2,0,Completed,1.66,2.1,1.79,2.13,1.83,2.2,1.75,2.09
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2019,ATP500,Indoor,Hard,1st Round,3,Raonic M.,Kohlschreiber P.,14,32,2250,1250,7,6,7,5,,,,,,,2,0,Completed,1.25,3.75,1.25,4.39,1.28,4.39,1.25,3.98
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2019,ATP500,Indoor,Hard,1st Round,3,Verdasco F.,Ebden M.,26,45,1455,1001,7,5,6,4,,,,,,,2,0,Completed,1.33,3.25,1.35,3.46,1.37,3.64,1.33,3.34
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2019,ATP500,Indoor,Hard,1st Round,3,Shapovalov D.,Skugor F.,25,351,1485,63,7,5,6,3,,,,,,,2,0,Completed,1.14,5.5,1.16,6.03,1.21,6.03,1.17,5.09
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2019,ATP500,Indoor,Hard,1st Round,3,Berdych T.,Simon G.,59,31,775,1280,7,6,6,4,,,,,,,2,0,Completed,1.5,2.5,1.61,2.45,1.62,2.56,1.56,2.43
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2019,ATP500,Indoor,Hard,1st Round,3,Monfils G.,Goffin D.,33,21,1240,1740,7,6,7,5,,,,,,,2,0,Completed,1.83,1.83,1.86,2.03,2.35,2.05,1.88,1.93
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2019,ATP500,Indoor,Hard,1st Round,3,Nishikori K.,Herbert P.H.,7,36,4100,1113,3,6,6,1,6,4,,,,,2,1,Completed,1.33,3.25,1.36,3.42,1.38,3.6,1.34,3.3
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/2019,ATP500,Indoor,Hard,1st Round,3,Griekspoor T.,Khachanov K.,211,11,244,2880,3,6,6,3,6,2,,,,,2,1,Completed,8,1.08,9.94,1.08,11,1.1,8.24,1.08
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2019,ATP500,Indoor,Hard,1st Round,3,Fucsovics M.,Klizan M.,38,39,1080,1079,7,6,6,4,,,,,,,2,0,Completed,2.1,1.66,2,1.88,2.17,1.9,2.07,1.76
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2019,ATP500,Indoor,Hard,1st Round,3,Medvedev D.,Chardy J.,16,35,2160,1180,7,6,6,2,,,,,,,2,0,Completed,1.22,4,1.28,4.06,1.3,4.4,1.25,3.96
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2019,ATP500,Indoor,Hard,1st Round,3,Tsonga J.W.,Fabbiano T.,140,86,405,653,6,1,6,4,,,,,,,2,0,Completed,1.14,5.5,1.13,6.85,1.16,7,1.12,6.2
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2019,ATP500,Indoor,Hard,1st Round,3,Dzumhur D.,Tsitsipas S.,56,12,905,2805,6,4,1,6,7,5,,,,,2,1,Completed,5,1.16,5.63,1.17,5.8,1.25,4.98,1.18
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2019,ATP500,Indoor,Hard,2nd Round,3,Monfils G.,Seppi A.,33,40,1240,1060,4,6,6,1,6,3,,,,,2,1,Completed,1.4,2.75,1.45,2.98,1.45,3.05,1.43,2.85
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2019,ATP500,Indoor,Hard,2nd Round,3,Wawrinka S.,Raonic M.,68,14,740,2250,6,4,7,6,,,,,,,2,0,Completed,2.62,1.44,2.93,1.47,2.93,1.53,2.67,1.48
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/2019,ATP500,Indoor,Hard,2nd Round,3,Shapovalov D.,Berdych T.,25,59,1485,775,6,4,6,3,,,,,,,2,0,Completed,2.25,1.57,2.41,1.64,2.45,1.65,2.36,1.59
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/2019,ATP500,Indoor,Hard,2nd Round,3,Dzumhur D.,Kukushkin M.,56,53,905,910,6,4,7,6,,,,,,,2,0,Completed,2,1.72,2.18,1.77,2.2,1.91,2.01,1.81
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/2019,ATP500,Indoor,Hard,2nd Round,3,Medvedev D.,Verdasco F.,16,26,2160,1455,6,2,7,5,,,,,,,2,0,Completed,1.33,3.25,1.33,3.64,1.37,3.64,1.32,3.39
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/2019,ATP500,Indoor,Hard,2nd Round,3,Tsonga J.W.,Griekspoor T.,140,211,405,244,7,6,6,1,,,,,,,2,0,Completed,1.1,7,1.11,7.91,1.14,8.5,1.1,7.16
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/2019,ATP500,Indoor,Hard,2nd Round,3,Nishikori K.,Gulbis E.,7,84,4100,667,6,1,6,4,,,,,,,2,0,Completed,1.25,3.75,1.28,4.11,1.31,4.26,1.27,3.76
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/2019,ATP500,Indoor,Hard,2nd Round,3,Fucsovics M.,Basilashvili N.,38,20,1080,1820,7,6,6,1,,,,,,,2,0,Completed,1.83,1.83,1.95,1.95,1.95,2.1,1.79,2.02
12,Rotterdam,ABN AMRO World Tennis Tournament,15/02/2019,ATP500,Indoor,Hard,Quarterfinals,3,Monfils G.,Dzumhur D.,33,56,1240,905,6,1,6,2,,,,,,,2,0,Completed,1.22,4.33,1.25,4.55,1.25,4.6,1.23,4.25
12,Rotterdam,ABN AMRO World Tennis Tournament,15/02/2019,ATP500,Indoor,Hard,Quarterfinals,3,Medvedev D.,Tsonga J.W.,16,140,2160,405,6,4,6,2,,,,,,,2,0,Completed,1.57,2.37,1.7,2.31,1.74,2.42,1.61,2.33
12,Rotterdam,ABN AMRO World Tennis Tournament,15/02/2019,ATP500,Indoor,Hard,Quarterfinals,3,Wawrinka S.,Shapovalov D.,68,25,740,1485,6,4,7,6,,,,,,,2,0,Completed,1.8,2,1.81,2.15,1.87,2.25,1.77,2.07
12,Rotterdam,ABN AMRO World Tennis Tournament,15/02/2019,ATP500,Indoor,Hard,Quarterfinals,3,Nishikori K.,Fucsovics M.,7,38,4100,1080,6,3,6,2,,,,,,,2,0,Completed,1.2,4.5,1.24,4.75,1.24,5.05,1.2,4.58
12,Rotterdam,ABN AMRO World Tennis Tournament,16/02/2019,ATP500,Indoor,Hard,Semifinals,3,Monfils G.,Medvedev D.,33,16,1240,2160,4,6,6,3,6,4,,,,,2,1,Completed,3,1.4,3,1.46,3.17,1.47,2.95,1.41
12,Rotterdam,ABN AMRO World Tennis Tournament,16/02/2019,ATP500,Indoor,Hard,Semifinals,3,Wawrinka S.,Nishikori K.,68,7,740,4100,6,2,4,6,6,4,,,,,2,1,Completed,2.5,1.53,2.49,1.62,2.71,1.63,2.48,1.55
12,Rotterdam,ABN AMRO World Tennis Tournament,17/02/2019,ATP500,Indoor,Hard,The Final,3,Monfils G.,Wawrinka S.,33,68,1240,740,6,3,1,6,6,2,,,,,2,1,Completed,2.5,1.53,2.45,1.64,2.5,1.69,2.39,1.59
